abbrev,correct title,title1_votes,title1,title2,title3,correct url,url1_votes,url1,url2,url3
ACTA MATH-DJURSHOLM,acta mathematica,3,acta mathematica,,,http://www.springer.com/mathematics/journal/11511/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/11511/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/11511/PSE?detailsPage=editorialBoard,
ARK MAT,arkiv for matematik,2,arkiv fÃ¶r matematik,arkiv for matematik,,http://www.springer.com/mathematics/journal/11512/PS2?detailsPage=editorialBoard,3,http://www.springer.com/mathematics/journal/11512/PS2?detailsPage=editorialBoard,,
CENT EUR J MATH,central european journal of mathematics,3,central european journal of mathematics,,,http://www.springer.com/mathematics/journal/11533?detailsPage=editorialBoard,2,http://link.springer.com/journal/11533,http://www.springer.com/mathematics/journal/11533?detailsPage=editorialBoard,
JPN J MATH,japanese journal of mathematics,3,japanese journal of mathematics,,,http://www.springer.com/mathematics/journal/11537?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/11537?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/11537,
OPTIM LETT,optimization letters,3,optimization letters,,,http://www.springer.com/mathematics/journal/11590/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/11590/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/11590?detailsPage=editorialBoard,
APPL MATH SER B,applied mathematics-a journal of chinese universities series b,1,pplied mathematics-a journal of chinese universities,applied mathematics-a journal of chinese universities,applied mathematics-a journal of chinese universities series b,http://www.springer.com/mathematics/journal/11766?detailsPage=editorialBoard,3,http://www.springer.com/mathematics/journal/11766?detailsPage=editorialBoard,,
ISR J MATH,israel journal of mathematics,3,israel journal of mathematics,,,http://www.springer.com/mathematics/journal/11856?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/11856?detailsPage=editorialBoard,http://www.ma.huji.ac.il/~ijmath/board.html,
J CONTEMP MATH ANAL+,journal of contemporary mathematical analysis,3,journal of contemporary mathematical analysis,,,http://www.springer.com/mathematics/journal/11957?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/11957?detailsPage=editorialBoard,http://journalseek.net/cgi-bin/journalseek/journalsearch.cgi?field=issn&query=1068-3623,
P INDIAN AS-MATH SCI,proceedings of the indian academy of sciences-mathematical sciences,2,proceedings of the indian academy of sciences-mathematical sciences,the proceedings of the indian academy of sciences - mathematical sciences,,http://www.springer.com/mathematics/journal/12044/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/12044/PS2?detailsPage=editorialBoard,http://www.ias.ac.in/Journals/Proceedings_–_Mathematical_Sciences/Editorial_Board,
ABH MATH SEM HAMBURG,abhandlungen aus dem mathematischen seminar der universitÃ¤t hamburg,2,abhandlungen aus dem mathematischen seminar der universitÃ¤t hamburg,abhandlungen aus dem mathematischen,,http://www.springer.com/mathematics/journal/12188/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/12188/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/12188,
REV MAT COMPLUT,revista matemática complutense,3,revista matemÃ¡tica complutense,,,http://www.springer.com/mathematics/journal/13163/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/13163/PS2?detailsPage=editorialBoard,http://www.mat.ucm.es/serv/revmat/p_board.htm,
INDIAN J PURE AP MAT,indian journal of pure and applied mathematics,3,indian journal of pure and applied mathematics,,,http://www.springer.com/mathematics/journal/13226?detailsPage=editorialBoard,3,http://www.springer.com/mathematics/journal/13226?detailsPage=editorialBoard,,
B MATH SCI,bulletin of mathematical sciences,3,bulletin of mathematical sciences,,,http://www.springer.com/mathematics/journal/13373?detailsPage=editorialBoard,3,http://www.springer.com/mathematics/journal/13373?detailsPage=editorialBoard,,
RACSAM REV R ACAD A,"revista de la real academia de ciencias exactas, físicas y naturales - serie a  matemáticas",1,"revista de la real academia de ciencias exactas, fÃ­sicas y naturales. serie a. matemÃ¡ticas",revista serie a matemÃ¡ticas (racsam),revista de la real academia de ciencias,http://www.springer.com/mathematics/journal/13398/PS2?detailsPage=editorialBoard,1,http://link.springer.com/journal/13398,http://www.springer.com/mathematics/journal/13398/PS2?detailsPage=editorialBoard,http://www.rac.es/4/4_3_3.php
ARCH MATH LOGIC,archive for mathematical logic,3,archive for mathematical logic,,,http://www.springer.com/mathematics/journal/153?detailsPage=editorialBoard,1,http://www.springer.com/mathematics/journal/153?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/153/PS2?detailsPage=editorialBoard,
MATH METHOD OPER RES,mathematical methods of operations research,3,mathematical methods of operations research,,,http://www.springer.com/mathematics/journal/186/PS2?detailsPage=editorialBoard,3,http://www.springer.com/mathematics/journal/186/PS2?detailsPage=editorialBoard,,
MATH ANN,mathematische annalen,3,mathematische annalen,,,http://www.springer.com/mathematics/journal/208/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/208/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/208,
MATH Z,mathematische zeitschrift,3,mathematische zeitschrift,,,http://www.springer.com/mathematics/journal/209/PS2?detailsPage=editorialBoard,1,http://link.springer.com/journal/209,http://www.springer.com/mathematics/journal/209/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/209?detailsPage=editorialBoard
INVENT MATH,inventiones mathematicae,2,inventiones mathematicae,inventiones mathematicae inventiones mathematicae,,http://www.springer.com/mathematics/journal/222/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/222,http://www.springer.com/mathematics/journal/222/PS2?detailsPage=editorialBoard,
MANUSCRIPTA MATH,manuscripta mathematica,3,manuscripta mathematica,,,http://www.springer.com/mathematics/journal/229/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/229/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/229?detailsPage=editorialBoard,
APPL MATH OPT,applied mathematics & optimization,2,applied mathematics & optimization,applied mathematics and optimization,,http://www.springer.com/mathematics/journal/245/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/245/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/245,
MATH INTELL,the mathematical intelligencer,3,the mathematical intelligencer,,,http://www.springer.com/mathematics/journal/283/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/283/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/283,
GRAPH COMBINATOR,graphs and combinatorics,3,graphs and combinatorics,,,http://www.springer.com/mathematics/journal/373/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/373/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/373,
DISCRETE COMPUT GEOM,discrete & computational geometry,3,discrete & computational geometry,,,http://www.springer.com/mathematics/journal/454?detailsPage=editorialBoard,1,http://www.springer.com/mathematics/journal/454?detailsPage=editorialBoard,http://www.springer.com/journal/454/edboard,http://link.springer.com/journal/454
